Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population,Arbeitslos,EastWest,Ausbildung
16076,"Greiz, Kreis",25.555976152171855,57.388888888888886,0.05617164924964902,0.028949886678418534,1,0.0024094686476957942
5762,"H�xter, Kreis",8.925519211407432,76.72222222222223,0.05373156163138511,0.024116130399463143,0,0.006317945819941369
14521,Erzgebirgskreis,28.90158049326309,157.77777777777777,0.04491139645661735,0.028298366791725548,1,0.0018473850746093254
15087,"Mansfeld-S�dharz, Landkreis",23.89354412349703,51.333333333333336,0.03583578831753295,0.05590777680363444,1,0.0015114518197561098
12071,"Spree-Nei�e, Landkreis",28.884640248682995,38.833333333333336,0.03266077370989947,0.03950422671840355,1,0.0021913109756097563
15090,"Stendal, Landkreis",17.682868373118588,34.388888888888886,0.02978140735672932,0.05168483734737512,1,0.002433163112045659
15081,Altmarkkreis Salzwedel,15.550902129999788,22.555555555555557,0.026132583598521116,0.042814686763678556,1,0.0021999360621381297
16065,Kyffh�userkreis,24.990595056319016,19.72222222222222,0.025396907157492238,0.044817853280223696,1,0.0020760241631274895
15082,"Anhalt-Bitterfeld, Landkreis",22.39540967749027,35.44444444444444,0.021246100441439292,0.042104871515031256,1,0.0018652644111519
16061,"Eichsfeld, Kreis",18.182986172450896,19.833333333333332,0.019646495164320682,0.02348849918028715,1,0.003169556361468528
12062,"Elbe-Elster, Landkreis",24.196712124042595,19.333333333333332,0.018212019304740604,0.04294620849644773,1,0.0026484945145232226
9374,"Neustadt a.d.Waldnaab, Landkreis",13.94211443119389,16.22222222222222,0.016996052492191657,0.018627098194441506,0,0.0016764388374997355
16075,Saale-Orla-Kreis,26.521559117525285,13.666666666666666,0.016337134705652737,0.028392289665157482,1,0.002377884933927191
5966,"Olpe, Kreis",7.723577235772358,21.11111111111111,0.015644001801530295,0.023411073526793662,0,0.005314224675093466
16063,Wartburgkreis,22.540940583665755,19.27777777777778,0.015265536752989578,0.024280081445331437,1,0.0017953524449759218
16077,"Altenburger Land, Kreis",27.4605258359771,11.333333333333334,0.012107615333938756,0.044026475455046885,1,0.0023827909542195255
16073,"Saalfeld-Rudolstadt, Kreis",26.983294628811144,13.166666666666666,0.01193638360817231,0.03163884956411594,1,0.0021663810446315474
14625,"Bautzen, Landkreis",32.4507879238075,22.11111111111111,0.007170783561249007,0.03207504774744411,1,0.0024584151152877735
14626,"G�rlitz, Landkreis",32.88511579495186,13,0.00495865246712032,0.04550503338049083,1,0.0020266030625090124
16064,Unstrut-Hainich-Kreis,23.218600033096145,3.7222222222222223,0.0035706482058824613,0.04422051321688051,1,0.002950610604421085
15089,Salzlandkreis,20.40763401304352,5.222222222222222,0.002627995985316746,0.04927388852282102,1,0.0016094303695671347
3255,"Holzminden, Landkreis",9.620641695841927,1.3333333333333333,0.0018550208457966493,0.033607893849094794,0,0.0018919374789160013
9472,"Bayreuth, Landkreis",10.881826320501343,-5.222222222222222,-0.004990798878238264,0.017446173113048503,0,0.0008361832281681999
9673,"Rh�n-Grabfeld, Landkreis",10.377150639934305,-6.333333333333333,-0.007920131724295952,0.014712516918141261,0,0.003323474860895283
10046,"St. Wendel, Landkreis",8.254967000649728,-7.111111111111111,-0.008030072621969246,0.018994616864124188,0,0.003921836411849728
7340,"S�dwestpfalz, Landkreis",12.87941589083025,-8.333333333333334,-0.008626728365028091,0.024216016926074113,0,0.0011332928336510464
16062,"Nordhausen, Kreis",21.12309945742991,-7.388888888888889,-0.008654121444002008,0.03821859097724831,1,0.002188979538826641
9377,"Tirschenreuth, Landkreis",12.3046875,-6.722222222222222,-0.009151234357817733,0.01973051010587103,0,0.0015371923552866768
7336,"Kusel, Landkreis",13.956861029902626,-7.166666666666667,-0.010079983496957358,0.02382567407156181,0,0.0018003504606862247
16066,"Schmalkalden-Meiningen, Kreis",21.624943225840926,-12.722222222222221,-0.010131255054567165,0.02450549808055176,1,0.002046327021927256
14522,"Mittelsachsen, Landkreis",30.35709592123178,-34.111111111111114,-0.010843002854853226,0.030965137447956047,1,0.0023150837408689837
14523,Vogtlandkreis,26.421081775651174,-27.944444444444443,-0.01194360150636592,0.029858352498431946,1,0.0021552024531326227
12066,"Oberspreewald-Lausitz, Landkreis",25.853797487331715,-14.666666666666666,-0.012883352951166303,0.048910206799733624,1,0.0019132125051744928
15091,"Wittenberg, Landkreis",19.93544585219511,-16.88888888888889,-0.013047859893453943,0.0413515751291251,1,0.001753735756811103
9677,"Main-Spessart, Landkreis",10.3886925795053,-16.944444444444443,-0.013416559994017634,0.01145246318851118,0,0.003006567975783059
16069,"Hildburghausen, Kreis",25.21853146853147,-9.166666666666666,-0.014095624718087448,0.021932637704738512,1,0.0019304475697323343
7135,"Cochem-Zell, Landkreis",8.525595285287666,-10,-0.01609839338034064,0.019266322856864845,0,0.0017741883169537156
9674,"Ha�berge, Landkreis",12.86002568336085,-13.88888888888889,-0.016516695075382226,0.01600681947338511,0,0.0029929910967986363
