"Chiprana","-0.1330","0.13551401869158877","12,75","61.8","9.93"
"Bakaiku","-0.1284","0","30,59","56.5","9.01"
"Bea","-0.1250","0.1","1,24","61.8","9.93"
"Aveinte","-0.1250","0.13846153846153847","6,46","60.4","11.20"
"Donvidas","-0.1250","0.10344827586206896","2,61","60.4","11.20"
"Aldeatejada","-0.1224","0.24581939799331104","70,14","60.4","11.20"
"Espinosa de los Caballeros","-0.1220","0.30985915492957744","5,77","60.4","11.20"
"Barjas","-0.1220","0.09090909090909091","2,98","60.4","11.20"
"Ador","-0.1194","0.11538461538461539","125,09","50.8","14.13"
"Espirdo","-0.1190","0.20893371757925072","53,4","60.4","11.20"
"Abella de la Conca","-0.1186","0","2,35","50.2","10.45"
"Coca de Alba","-0.1143","0.19444444444444445","9,93","60.4","11.20"
"Hinojosas de Calatrava","-0.1136","0.07751937984496124","5,09","53.9","16.56"
"Horcajo Medianero","-0.1129","0.2462686567164179","4,14","60.4","11.20"
"Cevico Navero","-0.1064","0.07236842105263158","4,2","60.4","11.20"
"Chumillas","-0.1053","0.1111111111111111","1,47","53.9","16.56"
"Cervatos de la Cueza","-0.1047","0.18232044198895028","3,71","60.4","11.20"
"Casla","-0.1000","0.16304347826086957","8,87","60.4","11.20"
"Gascones","-0.1000","0.32608695652173914","8,78","61.9","9.99"
"Castellcir","-0.0996","0.03800475059382423","21,85","50.2","10.45"
"Duruelo","-0.0984","0.23076923076923078","9,62","60.4","11.20"
"Aranguren","-0.0979","0.0672714823690517","278,4","56.5","9.01"
"Aguilar de Segarra","-0.0978","0.023529411764705882","6,54","50.2","10.45"
"Arcos de las Salinas","-0.0952","0.2916666666666667","1,04","61.8","9.93"
"Bonastre","-0.0951","0.07449856733524356","27,42","50.2","10.45"
"Barcience","-0.0936","0.38258575197889183","46,52","53.9","16.56"
"Benuza","-0.0926","0.11522633744855967","2,79","60.4","11.20"
"Fuentes de Valdepero","-0.0919","0.23247232472324722","10,85","60.4","11.20"
"Das","-0.0909","0.043478260869565216","15,78","50.2","10.45"
"Fontanarejo","-0.0897","0.21710526315789475","3,29","53.9","16.56"
"Fuentes de Jiloca","-0.0896","0.12195121951219512","8,37","61.8","9.93"
"Dehesa de Montejo","-0.0882","0.06493506493506493","2,9","60.4","11.20"
"Altzo","-0.0878","0","47,08","67.7","9.09"
"Ladrillar","-0.0877","0.23478260869565218","3,62","55.8","23.48"
"Guaro","-0.0858","0.337782340862423","101,79","53.0","20.80"
"Cubillas de Santa Marta","-0.0855","0.32663316582914576","13,97","60.4","11.20"
"Bohonal de Ibor","-0.0841","0.1716171617161716","7,46","55.8","23.48"
"Beniarbeig","-0.0840","0.14566115702479338","291,76","50.8","14.13"
"Jabaloyas","-0.0833","0.11627906976744186",",96","61.8","9.93"
"Hombrados","-0.0833","0",",92","53.9","16.56"
"Guirguillano","-0.0833","0.023809523809523808","3,37","56.5","9.01"
"Campillo de Aranda","-0.0820","0.14414414414414414","7,48","60.4","11.20"
"Hinojares","-0.0806","0.2374429223744292","9,32","53.0","20.80"
"Basardilla","-0.0784","0.12121212121212122","7,52","60.4","11.20"
"Casares","-0.0770","0.23984442523768368","42,4","53.0","20.80"
"Aldehorno","-0.0769","0","4,45","60.4","11.20"
"Cabezas del Villar","-0.0755","0.1952662721893491","2,33","60.4","11.20"
"Gualchos","-0.0742","0.24758454106280192","167,26","53.0","20.80"
"Gallegos","-0.0741","0.14754098360655737","4,82","60.4","11.20"
"Castell de Castells","-0.0726","0.13168724279835392","9,51","50.8","14.13"
"Capdesaso","-0.0723","0.12048192771084337","11,92","61.8","9.93"
"Josa","-0.0714","0","1,2","61.8","9.93"
"Bularros","-0.0714","0.15217391304347827","2,15","60.4","11.20"
"Donjimeno","-0.0714","0.0847457627118644","5,22","60.4","11.20"
"Estubeny","-0.0714","0.0898876404494382","19,47","50.8","14.13"
"Benifallet","-0.0705","0.05011389521640091","11,59","50.2","10.45"
"Carmona","-0.0686","0.1861262774744505","31,27","53.0","20.80"
"Ciruelas","-0.0682","0.3333333333333333","5,18","53.9","16.56"
"Gualta","-0.0680","0.01639344262295082","44,18","50.2","10.45"
"Gumiel de Mercado","-0.0678","0.14906832298136646","6,22","60.4","11.20"
"Arroyomolinos","-0.0651","0.27633061991233565","7,17","61.9","9.99"
"Arroyomolinos","-0.0651","0.12095400340715502","7,17","55.8","23.48"
"Berbinzana","-0.0650","0.03757225433526012","51,31","56.5","9.01"
"Amavida","-0.0645","0.1839080459770115","8,46","60.4","11.20"
"Bustares","-0.0625","0.0392156862745098","2,44","53.9","16.56"
"Altable","-0.0625","0.125","5,6","60.4","11.20"
"Colldejou","-0.0606","0","11,66","50.2","10.45"
"Braojos","-0.0595","0.23134328358208955","8,26","61.9","9.99"
"Arrieta","-0.0591","0","39,67","67.7","9.09"
"Arraya de Oca","-0.0588","0.09090909090909091","3,84","60.4","11.20"
"Almonacid de la Sierra","-0.0581","0.12944162436548223","13,96","61.8","9.93"
"Campos","-0.0581","0.19973890339425587","75,38","40.4","9.91"
"Ibahernando","-0.0581","0.08776595744680851","6,99","55.8","23.48"
"Caldearenas","-0.0580","0.176","1,18","61.8","9.93"
"Lanteira","-0.0579","0.11331444759206799","10,69","53.0","20.80"
"Gallegos de Altamiros","-0.0556","0.25","3,22","60.4","11.20"
