Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population
3459,"Osnabr�ck, Landkreis",7.034149429,-271.5833333,-0.07752834221
7143,Westerwaldkreis,10.82610272,-156.0833333,-0.07855067504
3360,"Uelzen, Landkreis",9.36652699,-74,-0.08012473472
5570,"Warendorf, Kreis",7.416247286,-221.5833333,-0.08127829762
3357,"Rotenburg (W�mme), Landkreis",8.071416984,-131.25,-0.08136608228
12067,"Oder-Spree, Landkreis",22.13706126,-143.9166667,-0.08137781547
7231,"Bernkastel-Wittlich, Landkreis",8.392854469,-90.83333333,-0.0820958699
10042,"Merzig-Wadern, Landkreis",9.262830991,-85,-0.08241625055
9272,"Freyung-Grafenau, Landkreis",20.08669891,-65.08333333,-0.08384218346
15083,"B�rde, Landkreis",18.77203749,-146.6666667,-0.08480047797
14729,"Leipzig, Landkreis",26.86663613,-219.1666667,-0.08508154889
15084,Burgenlandkreis,24.33421907,-157.6666667,-0.08524549983
7335,"Kaiserslautern, Landkreis",13.99156336,-89.33333333,-0.08580090987
12070,"Prignitz, Landkreis",18.34478437,-68.33333333,-0.08761470046
3256,"Nienburg (Weser), Landkreis",9.806339305,-106.5,-0.08886255924
12068,"Ostprignitz-Ruppin, Landkreis",18.48410671,-88.08333333,-0.08902342066
6532,Lahn-Dill-Kreis,13.92047303,-232.75,-0.09260843443
6634,Schwalm-Eder-Kreis,12.86766046,-166.25,-0.09265503347
6533,"Limburg-Weilburg, Landkreis",12.70207139,-158.0833333,-0.09300989229
3452,"Aurich, Landkreis",8.924105615,-174.1666667,-0.09310837637
1061,"Steinburg, Landkreis",8.232852468,-121.0833333,-0.09312884725
16070,Ilm-Kreis,25.04586328,-101.5833333,-0.09323164277
1059,"Schleswig-Flensburg, Landkreis",6.560555803,-184.6666667,-0.09463533793
7138,"Neuwied, Landkreis",10.64229011,-169.8333333,-0.09463892325
7337,"S�dliche Weinstra�e, Landkreis",12.19250111,-103.9166667,-0.09531365607
